SalePrice,BsmtQual,GarageArea,GrLivArea,TotalBsmtSF,1stFlrSF,OverallQual,Fireplaces,YearBuilt,GarageCars,2ndFlrSF,LotArea,BsmtFinSF1,YearRemodAdd,TotRmsAbvGrd,SaleCondition
208500,3,548,1710,856,856,7,0,2003,2,854,8450,706,2003,8,4
181500,3,460,1262,1262,1262,6,1,1976,2,0,9600,978,1976,6,4
223500,3,608,1786,920,920,7,1,2001,2,866,11250,486,2002,6,4
140000,4,642,1717,756,961,7,1,1915,3,756,9550,216,1970,7,4
250000,3,836,2198,1145,1145,8,1,2000,3,1053,14260,655,2000,9,4
143000,3,480,1362,796,796,5,0,1993,2,566,14115,732,1995,5,4
307000,1,636,1694,1686,1694,8,1,2004,2,0,10084,1369,2005,7,4
200000,3,484,2090,1107,1107,7,2,1973,2,983,10382,859,1973,7,4
129900,4,468,1774,952,1022,7,2,1931,2,752,6120,0,1950,8,4
118000,4,205,1077,991,1077,5,2,1939,1,0,7420,851,1950,5,4
129500,4,384,1040,1040,1040,5,0,1965,1,0,11200,906,1965,5,4
345000,1,736,2324,1175,1182,9,2,2005,3,1142,11924,998,2006,11,5
144000,4,352,912,912,912,5,0,1962,1,0,12968,737,1962,4,4
279500,3,840,1494,1494,1494,7,1,2006,3,0,10652,0,2007,7,5
157000,4,352,1253,1253,1253,6,1,1960,1,0,10920,733,1960,5,4
132000,4,576,854,832,854,7,0,1929,2,0,6120,0,2001,5,4
149000,4,480,1004,1004,1004,6,1,1970,2,0,11241,578,1970,5,4
90000,4,516,1296,0,1296,4,0,1967,2,0,10791,0,1967,6,4
159000,4,576,1114,1114,1114,5,0,2004,2,0,13695,646,2004,6,4
139000,4,294,1339,1029,1339,5,0,1958,1,0,7560,504,1965,6,4
325300,1,853,2376,1158,1158,8,1,2005,3,1218,14215,0,2006,9,5
139400,4,280,1108,637,1108,7,1,1930,1,0,7449,0,1950,6,4
230000,3,534,1795,1777,1795,8,1,2002,2,0,9742,0,2002,7,4
129900,3,572,1060,1040,1060,5,1,1976,2,0,4224,840,1976,6,4
154000,4,270,1060,1060,1060,5,1,1968,1,0,8246,188,2001,6,4
256300,3,890,1600,1566,1600,8,1,2007,3,0,14230,0,2007,7,4
134800,4,576,900,900,900,5,0,1951,2,0,7200,234,2000,5,4
306000,1,772,1704,1704,1704,8,1,2007,3,0,11478,1218,2008,7,4
207500,4,319,1600,1484,1600,5,2,1957,1,0,16321,1277,1997,6,4
68500,4,240,520,520,520,4,0,1927,1,0,6324,0,1950,4,4
40000,4,250,1317,649,649,4,0,1920,1,668,8500,0,1950,6,4
149350,4,271,1228,1228,1228,5,0,1966,1,0,8544,0,2006,6,4
179900,1,484,1234,1234,1234,8,0,2007,2,0,11049,0,2007,7,4
165500,4,447,1700,1398,1700,5,1,1959,2,0,10552,1018,1959,6,4
277500,1,556,1561,1561,1561,9,1,2005,2,0,7313,1153,2005,6,4
309000,1,691,2452,1117,1132,8,1,2004,3,1320,13418,0,2005,9,4
145000,3,672,1097,1097,1097,5,0,1994,2,0,10859,0,1995,6,4
153000,4,498,1297,1297,1297,5,1,1954,2,0,8532,1213,1990,5,4
109000,4,246,1057,1057,1057,5,0,1953,1,0,7922,731,2007,5,4
160000,4,440,1324,1088,1324,6,1,1965,2,0,8658,643,1965,6,4
170000,4,308,1328,1350,1328,5,2,1959,1,0,16905,967,1959,5,4
144000,3,504,884,840,884,5,0,1983,2,0,9180,747,1983,5,4
130250,3,308,938,938,938,5,0,1975,1,0,9200,280,1980,5,4
141000,4,300,1150,1150,1150,5,0,1959,1,0,7945,179,1959,6,4
319900,1,576,1752,1752,1752,9,1,2005,2,0,7658,456,2005,6,4
239686,1,670,2149,1434,1518,7,1,2003,2,631,12822,1351,2003,6,4
249700,3,826,1656,1656,1656,8,0,2006,3,0,11096,24,2006,7,4
113000,4,0,1452,736,736,4,0,1920,0,716,4456,0,2008,8,5
127000,4,386,955,955,955,5,0,1966,1,0,7742,763,1966,6,4
177000,3,388,1470,794,794,6,0,1997,2,676,13869,182,1997,6,4
114500,4,528,1176,816,816,6,1,1934,2,0,6240,0,1950,6,4
110000,3,516,816,816,816,5,0,1963,2,0,8472,104,1963,5,4
130000,4,572,1360,384,1360,5,1,1955,2,0,7134,384,1955,6,4
180500,4,576,1425,1425,1425,6,1,1964,2,0,10175,490,1964,7,4
172500,3,480,1739,970,983,8,0,1999,2,756,2645,649,2000,7,4
196500,3,565,1720,860,860,7,0,2004,2,860,11645,0,2004,7,4
124900,4,352,780,780,780,5,0,1972,1,0,7200,632,1972,4,4
158000,3,576,1158,1158,1158,6,0,2004,2,0,13072,941,2004,5,5
101000,4,288,1111,530,581,5,0,1920,1,530,7200,0,1996,6,4
202500,3,484,1370,1370,1370,8,1,2006,2,0,6442,24,2006,6,4
140000,4,480,1710,576,902,7,0,1921,2,808,10300,0,1950,9,4
219500,3,645,2034,1057,1057,7,0,1997,2,977,9375,739,1998,8,4
317000,1,852,2473,1143,1143,8,1,2004,3,1330,9591,0,2005,9,4
180000,3,576,2207,1947,2207,7,1,1970,2,0,19900,912,1989,7,4
226000,3,558,1479,1453,1479,7,0,2003,2,0,10665,1013,2003,7,4
80000,4,220,747,747,747,4,0,1945,1,0,4608,0,1950,4,4
225000,4,667,2287,1304,1304,7,1,1953,2,983,15593,603,1953,7,4
129500,4,360,845,845,845,4,0,1982,2,0,7599,565,2006,4,4
185000,3,427,1718,832,885,7,1,1998,2,833,10141,0,1998,7,4
144900,4,490,1086,1086,1086,5,0,1954,2,0,10200,320,2003,6,4
107400,2,379,1605,840,840,3,0,1915,1,765,5790,0,1950,8,4
91000,3,297,988,462,526,4,0,1973,1,462,1596,462,1973,5,4
135750,4,283,952,952,952,4,0,1956,1,0,8475,228,1956,4,4
127000,4,240,1285,672,1072,5,0,1948,1,213,8635,336,2001,6,4
136500,4,0,1768,1768,1768,4,0,1968,0,0,10778,0,1968,8,4
110000,4,440,1230,440,682,5,0,1910,2,548,10440,0,1981,5,4
193500,3,509,2142,896,1182,6,1,1968,1,960,13000,448,1968,8,4
153500,1,405,1337,1237,1337,6,0,1998,2,0,4500,1201,1998,5,4
245000,3,758,1563,1563,1563,8,1,2007,3,0,10206,33,2007,6,4
126500,4,461,1065,1065,1065,5,0,1960,2,0,8892,0,1960,6,4
168500,3,400,1474,384,804,7,1,1995,2,670,8530,0,1996,7,4
260000,3,462,2417,1288,1301,8,1,1991,2,1116,16059,0,1992,9,4
174000,3,400,1560,684,684,6,1,2005,2,876,11911,0,2005,6,4
164500,3,528,1224,612,612,6,0,2009,2,612,3951,0,2009,4,5
85000,4,0,1526,1013,1013,3,0,1915,0,0,8470,0,1982,6,4
123600,3,0,990,990,990,4,0,1994,0,0,8070,588,1995,5,4
109900,4,420,1040,0,1040,4,0,1950,2,0,7200,0,1950,4,4
98600,4,480,1235,1235,1235,5,0,1961,2,0,8500,600,1961,6,4
163500,3,432,964,876,964,5,0,1921,2,0,13360,713,2006,5,4
133900,4,506,2291,1214,1260,6,1,1910,2,1031,7200,1046,1998,9,4
204750,3,684,1786,824,905,6,0,1997,2,881,9337,648,1997,7,4
185000,3,420,1470,680,680,6,1,1993,2,790,9765,310,1993,6,4
214000,3,472,1588,1588,1588,7,0,1999,2,0,10264,1162,1999,6,4
94750,4,432,960,960,960,4,0,1965,1,0,10921,520,1965,6,4
83000,4,366,835,458,835,5,0,1920,1,0,10625,108,1950,5,4
128950,4,0,1225,950,1225,4,0,1959,0,0,9320,569,1959,6,4
205000,4,480,1610,1610,1610,6,2,1977,2,0,10603,1200,2001,6,4
178000,3,476,1732,741,977,6,1,1985,2,755,9206,0,1985,7,4
198900,3,740,1226,1226,1226,7,0,2009,3,0,10402,0,2009,6,4
169500,4,240,1818,1040,1226,7,2,1931,1,592,7758,224,1950,7,4
250000,1,648,1992,1053,1053,8,1,2003,2,939,9375,0,2004,9,4
100000,2,273,1047,641,1047,4,0,1885,1,0,10800,0,1995,6,4
115000,4,250,789,789,789,5,0,1948,1,0,6000,104,1950,5,5
115000,4,0,1517,793,997,5,0,1919,0,520,8500,0,2005,7,4
190000,3,546,1844,1844,1844,6,1,1977,2,0,11751,705,1977,7,4
136900,4,325,1855,994,1216,6,0,1954,1,639,9525,444,1972,7,4
180000,3,400,1430,384,774,7,1,2000,2,656,7750,250,2000,7,4
383970,1,792,2696,1264,1282,7,1,2007,3,1414,9965,984,2007,10,5
217000,3,450,2259,1809,2259,6,2,1953,2,0,21000,35,1953,7,4
259500,4,180,2320,1028,1436,6,1,1945,1,884,7259,774,2002,9,4
176000,3,440,1458,729,729,6,1,1999,2,729,3230,419,1999,5,4
139000,4,288,1092,1092,1092,5,1,1962,1,0,11616,170,1962,6,4
155000,3,430,1125,1125,1125,5,0,2006,2,0,8536,0,2007,5,5
163990,3,390,1456,728,728,6,1,2005,2,728,8461,0,2006,8,5
180000,4,540,988,938,988,6,2,1969,2,0,21453,938,1969,4,4
100000,4,264,1123,732,772,4,0,1939,1,351,6060,0,1950,4,4
136000,4,288,1080,1080,1080,6,0,1958,1,0,9464,570,1958,5,4
153900,3,530,1199,1199,1199,6,0,1993,2,0,7892,300,1993,5,4
181000,3,435,1586,1362,1586,6,1,1979,2,0,17043,0,1998,7,4
84500,4,0,754,520,520,6,0,1935,0,0,6780,490,1982,5,4
128000,3,440,958,1078,958,6,1,1976,2,0,4928,120,1976,5,4
87000,4,0,840,672,840,5,1,1930,0,0,4388,116,1950,5,4
155000,4,453,1348,660,660,6,1,1966,2,688,7590,512,1966,6,4
150000,4,750,1053,1008,1053,5,0,1958,2,0,8973,567,1991,6,4
226000,4,487,2157,924,1216,7,2,1966,2,941,14200,445,1966,8,4
244000,3,390,2054,992,1022,6,1,2000,2,1032,12224,695,2000,7,4
150750,4,624,1327,1063,1327,5,0,1959,2,0,7388,405,2002,7,4
220000,1,471,1296,1267,1296,8,0,2001,2,0,6853,1005,2002,6,4
180000,4,440,1721,1461,1721,5,1,1968,2,0,10335,570,1993,7,4
174000,4,530,1682,1304,1682,7,1,1970,2,0,10400,0,1970,7,4
143000,4,318,1214,1214,1214,5,1,1967,1,0,10355,695,1967,5,4
171000,4,766,1959,1907,1959,7,0,1988,3,0,11070,0,1989,9,3
